Tytuł,Cena,link,Metraż,Dzielnica
3-pokojowe na os.Kazimierzowskim na sprzedaż!,470 000 złdo negocjacji,https://www.olx.pl/d/oferta/3-pokojowe-na-os-kazimierzowskim-na-sprzedaz-CID3-ID159z6Q.html,44,Bieńczyce
3-pok. 51m2 *Sidzina ul. Działowskiego*ogród 208m2,664 170 zł,https://www.otodom.pl/pl/oferta/3-pok-51m2-sidzina-ul-dzialowskiegoogrod-208m2-ID4xdye.html,"51,09",Dębniki
Luksusowe  dwupoziomowe  ponadczasowy styl i komfort  bez kompromisów!,815 000 zł,https://www.otodom.pl/pl/oferta/luksusowe-dwupoziomowe-ponadczasowy-styl-i-komfort-bez-kompromisow-ID4xC8j.html,70,Bieżanów-Prokocim
Mieszkanie z balkonem / Borek Fałęcki,279 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-borek-falecki-ID4y65D.html,"19,80",Łagiewniki-Borek Fałęcki
| Przestronne | 3 pokojowe | Komórka Lokatorska | Kraków - Kliny |,630 000 zł,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-komorka-lokatorska-krakow-kliny-ID4yamS.html,"46,10",Dębniki
Nowy apartament 3 pokojowy 50m2,800 000 zł,https://www.otodom.pl/pl/oferta/nowy-apartament-3-pokojowy-50m2-ID4ydrY.html,50,Bronowice
2-pokojowe mieszkanie w Krakowie przy ulicy Jana Palacha,450 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-krakowie-przy-ulicy-jana-palacha-ID4y68M.html,37,Prądnik Biały
Mieszkanie 2-pok. Borek Fałęcki 40 m².,599 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-2-pok-borek-falecki-40-m-CID3-ID17gwVq.html,40,Łagiewniki-Borek Fałęcki
"BEZ PROWIZJI! K. lokatorska, m. postojowe zew., blisko centrum",670 000 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-k-lokatorska-m-postojowe-zew-blisko-centrum-ID4y2Mn.html,"50,10",Grzegórzki
2-pokojowe mieszkanie w Krakowie przy ulicy Jana Palacha,450 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-krakowie-przy-ulicy-jana-palacha-ID4y68M.html,37,Prądnik Biały
"Mieszkanie z widokiem na park, Wielicka, Prokocim",739 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-park-wielicka-prokocim-ID4ydgD.html,52,Bieżanów-Prokocim
Nadrzeczna| mieszkanie 2 -pokojowe,549 000 zł,https://www.otodom.pl/pl/oferta/nadrzeczna-mieszkanie-2-pokojowe-ID4xZk0.html,"43,20",Grzegórzki
Dwupokojowe mieszkanie z balkonem i ogrzewaniem z sieci miejskiej,598 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-i-ogrzewaniem-z-sieci-miejskiej-ID4yjFk.html,"44,60",Grzegórzki
Przestronne mieszkanie z balkonem i parkingiem!,1 130 000 zł,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-i-parkingiem-ID4yb79.html,"85,33",Podgórze
Trzypokojowe mieszkanie wykończone w wysokim standardzie,684 000 zł,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-wykonczone-w-wysokim-standardzie-ID4y6KJ.html,52,Czyżyny
Przytulna kawalerka / Blisko Collegium Medicum,199 000 zł,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-collegium-medicum-ID4y668.html,"15,40",Podgórze Duchackie
Słoneczne 3-Pokojowe Mieszkanie Z Balkonem,629 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-3-pokojowe-mieszkanie-z-balkonem-ID4xQBh.html,49,Dębniki
Sprzedam atrakcyjne mieszkanie na Górce Narodowej,679 000 zł,https://www.otodom.pl/pl/oferta/sprzedam-atrakcyjne-mieszkanie-na-gorce-narodowej-ID4yfvW.html,"40,09",Prądnik Biały
38 m2 | cicha kamienica | Miodowa,580 000 zł,https://www.otodom.pl/pl/oferta/38-m2-cicha-kamienica-miodowa-ID4wSt0.html,"37,87",Stare Miasto
Sprzedam mieszkanie Kraków Prądnik właściciel,795 000 zł,https://www.olx.pl/d/oferta/sprzedam-mieszkanie-krakow-pradnik-wlasciciel-CID3-ID17jWuY.html,59,Prądnik Czerwony
"Kraków, Poznańska 5 — 55 m² + taras 20 m², 2 pok., garderoba, k. lokat",850 000 zł,https://www.olx.pl/d/oferta/krakow-poznanska-5-55-m-taras-20-m-2-pok-garderoba-k-lokat-CID3-ID17jVvX.html,55,Krowodrza
"Ul. Teńczyńska( rej. Placu na Groblach)62m2, mozl. 3 pokoi",1 390 000 zł,https://www.olx.pl/d/oferta/ul-tenczynska-rej-placu-na-groblach62m2-mozl-3-pokoi-CID3-ID148Qu6.html,62,Stare Miasto
"M2 z aneksem 12 piętro, balkon, garaż",729 000 zł,https://www.otodom.pl/pl/oferta/m2-z-aneksem-12-pietro-balkon-garaz-ID4vWZ2.html,"54,07",Prądnik Czerwony
"jednopokojowe, Ugorek, z dostępem do tarasu!",340 000 złdo negocjacji,https://www.olx.pl/d/oferta/jednopokojowe-ugorek-z-dostepem-do-tarasu-CID3-ID17zfYi.html,21,Prądnik Czerwony
3-pokojowe mieszkanie 46m2 + taras Bez Pośredników,548 847 zł,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-46m2-taras-bez-posrednikow-ID4xTwB.html,"46,91",Dębniki
Kawalerka z przepięknym widokiem na bulwary wiślane!,380 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-przepieknym-widokiem-na-bulwary-wislane-ID4y9Ni.html,23,Grzegórzki
3 Osobne Pokoje! Do Odświeżenia!,555 000 zł,https://www.otodom.pl/pl/oferta/3-osobne-pokoje-do-odswiezenia-ID4y0Qh.html,49,Mistrzejowice
Perfekcyjne 3 pokojowe mieszkanie- Podgórze,659 000 zł,https://www.otodom.pl/pl/oferta/perfekcyjne-3-pokojowe-mieszkanie-podgorze-ID4ybwo.html,50,Bieżanów-Prokocim
Dwupokojowe mieszkanie z balkonem - oferta prywatna,470 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-balkonem-oferta-prywatna-ID4ydXo.html,30,Krowodrza
Studio w centrum Krakowa - Krowodrza,375 000 zł,https://www.otodom.pl/pl/oferta/studio-w-centrum-krakowa-krowodrza-ID4xJe8.html,25,Krowodrza
"Okazja! 2 oddzielne pokoje, 41,5 m2 + piwnica",495 000 zł,https://www.otodom.pl/pl/oferta/okazja-2-oddzielne-pokoje-41-5-m2-piwnica-ID4xUuQ.html,"41,53",Nowa Huta
Mieszkanie 2-pok. w stanie bardzo dobrym w niskim bloku,549 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-w-stanie-bardzo-dobrym-w-niskim-bloku-ID4xRDl.html,"44,41",Bieżanów-Prokocim
"Słoneczne, 1-Pokojowe W Atrakcyjnej Lokalizacji",469 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4yf00.html,"26,32",Krowodrza
